Produktbezeichnung;Einheit.Produkt;n;Bemerkungen;Faktor_N;P2O5;Faktor_P;K2O;Faktor_K;Einheiten
Patastar plus;l;2;;;440;193.6;75;62.25;g/l
Patent-Kali 30 % + Mg;kg;4;;;;0;0.3;0.249;
Patent-Kali 30 % + Mg;dt;150;;;;0;0.3;0.249;
Patentkali 30%;dt;7;;;;0;0.3;0.249;
Patentkali 30% (chlorfrei);dt;33;;;;0;0.3;0.249;
Patentkali plus 40%;dt;1;;;;0;0.4;0.332;
Patentkali plus 40% (chlorfrei);dt;27;;;;0;0.4;0.332;
Patentkali plus 40% sans chlore;dt;13;;;;0;0.4;0.332;
Patentkali plus chlorfrei;dt;19;;;;0;0.3;0.249;
Pe-Ka 0.20.20 mit Kalk;dt;4;;;0.2;0.088;0.2;0.166;
Pe-Ka 0.21.21 + 3 % Mg;dt;84;;;0.21;0.0924;0.21;0.1743;
Perlka Cyanamide;dt;7;;0.23;;0;;0;
Perlka Kalkstickstoff;dt;74;;0.23;;0;;0;
Perlka Kalkstickstoff geperlt;dt;10;;0.23;;0;;0;
Pferdemist;t;27;;1.3;2.5;1.1;9.8;8.134;kg/t
Pferdemist frisch;t;55;;0.55;2.5;1.1;9.8;8.134;kg/t
Pferdemist Wagen;;2;keine Einheit;;;0;;0;
Pferdemist zugeführt;Wagen;2;;;;0;;0;
Pferdemist/ Zoo1.9;t;2;;1.9;2.5;1.1;9.8;8.134;kg/t
Phoska 0.20.30;dt;17;;;0.2;0.088;0.3;0.249;
Phoskaplus 0.10.25;dt;8;;;0.1;0.044;0.25;0.2075;
Phoskaplus 0.10.30;dt;7;;;0.1;0.044;0.3;0.249;
Photrel;kg;9;;0.05;0.12;0.0528;0.24;0.1992;
"PK 0.10.24 ""CAY""";dt;13;;;0.1;0.044;0.24;0.1992;
PK Kalk 0.13.25;dt;35;;;0.13;0.0572;0.25;0.2075;
PK-MG-Kalk 0.13.25 + 2Mg;dt;48;;;0.13;0.0572;0.25;0.2075;
Plüssfert Campo;dt;33;;0.05;0.08;0.0352;0.26;0.2158;
Plüssfert Prairie;dt;4;;0.18;0.05;0.022;0.06;0.0498;
Plüsskorn;dt;21;;0.13;0.06;0.0264;0.18;0.1494;
Polydor;dt;6;;0.08;0.13;0.0572;0.3;0.249;
Polydor ;dt;2;;0.08;0.13;0.0572;0.3;0.249;
Polydor (bettr);dt;7;;0.08;0.13;0.0572;0.3;0.249;
Polydor (Mais);dt;7;;0.08;0.13;0.0572;0.3;0.249;
Polyvalent (Mais);dt;23;;0.05;0.1;0.044;0.28;0.2324;
Potasse de magnésie;dt;24;;;;0;0.3;0.249;
Potasse de magnésie sans chlore 30 %;dt;28;;;;0;0.3;0.249;
Potasse granulée 60 %;dt;134;;;;0;0.6;0.498;
Pouletmist;t;153;;13.5;30;13.2;20;16.6;kg/t
Pouletmist;m³;1;;6.9;;0;;0;kg/m3
Pouletmist 12;t;2;;13.5;30;13.2;20;16.6;kg/t
Pouletmist 13;t;4;;13.5;30;13.2;20;16.6;kg/t
Pouletmistplatz;t;11;;13.5;30;13.2;20;16.6;kg/t
Premium Mix 0.14.28;dt;8;;;0.14;0.0616;0.28;0.2324;
Premium Mix 5-10-30;dt;1;;0.05;0.1;0.044;0.3;0.249;
Presswasser;m³;16;;1.6;1.7;0.748;4.2;3.486;kg/m3
Presswasser ;m³;7;;1.6;1.7;0.748;4.2;3.486;kg/m3
Presswasser Lenzburg;m³;3;;1.6;1.7;0.748;4.2;3.486;kg/m3
Presswasser vom 01.01.2011;m³;1;;1.6;1.7;0.748;4.2;3.486;kg/m3
Primasol Obst  wasserlöslich;dt;1;;0.1;0.06;0.0264;0.15;0.1245;in %
Primasol Obst chlorfrei wasserlöslich;dt;3;;0.1;0.06;0.0264;0.15;0.1245;
ProMix;dt;5;;0.13;0.1;0.044;0.3;0.249;
ProMix 0-10-30;dt;9;;0;0.1;0.044;0.3;0.249;
Protec Basic;l;111;;;0.3;0.132;0.2;0.166;in %
Protec Extra;l;13;;0.03;0.27;0.1188;0.18;0.1494;in %
Provita Vinasse;l;2;;0.045;;0;0.06;0.0498;in %
Purin bovin/porcs à l'engrais 1:1, non dilué;m³;5;;1.55;1.4;0.616;3.1;2.573;kg/m3
Purin bovin/porcs d'élevage 1:1, dilué 1:1;m³;6;;1.55;1.4;0.616;3.1;2.573;kg/m3
Purin bovins à l'engrais;m³;19;;3.6;3.8;1.672;4.4;3.652;kg/m3
Purin bovins dilué 1:1;m³;106;;1.3;0.9;0.396;2.6;2.158;kg/m3
Raclures de corne;dt;24;;0.135;;0;;0;
Raps PK 0.13.26 + 3% Mg + B + S;dt;6;;;0.13;0.0572;0.26;0.2158;
Rapsdünger;dt;16;;0.05;0.12;0.0528;0.24;0.1992;
Rapsdünger 5.12.24;dt;3;;0.05;0.12;0.0528;0.24;0.1992;
Rapsdünger Hün  Bor;dt;2;;0.05;0.12;0.0528;0.24;0.1992;
Rapsdünger NPK;dt;6;;0.05;0.12;0.0528;0.24;0.1992;
Rasan;dt;20;;0.2;0.08;0.0352;0.08;0.0664;
Ricasol 15;dt;2;;0.15;0.15;0.066;0.15;0.1245;
Ricokalk;dt;3;;;0.012;0.00528;;0;
Ricokalk (Lieferung Hof);dt;53;;;0.012;0.00528;;0;
Rindergülle + Hausabw.;m³;106;Annahme Vollgülle;2.6;1.7;0.748;5.2;4.316;kg/m3
Rindervollgülle 1:2 verdünnt;m³;155;;0.85;0.6;0.264;1.7;1.411;kg/m3
Rindvieh-Boxenlaufstall;m³;1;;1.9;2.3;1.012;8.9;7.387;kg/m3
Rindvieh-Tiefstreustall (Ein- und Zweiflächensyste;m³;1;;1.9;2.3;1.012;8.9;7.387;kg/m3
Rottemist-Platz;t;48;Annahme Kuhmist;1.7;2.7;1.188;8.7;7.221;kg/t
Rübendünger;dt;45;;0.05;0.09;0.0396;0.27;0.2241;
Rundsilo ;m³;213;Annahme Kuhgülle;2.6;1.8;0.792;8;6.64;kg/m3
RV Güllengrube;m³;25;;2;1.8;0.792;8;6.64;kg/m3
Schaf-/Ziegenmist;t;3;;4;3.3;1.452;16;13.28;kg/t
Schleppschlauch;mg;1;falsche Einheit ?;;;0;;0;
Schweinegülle;m³;131;;3.6;3.8;1.672;4.4;3.652;kg/m3
Schweinegülle Mast (gemäss Vertrag U.Käser);m³;5;;3.6;3.8;1.672;4.4;3.652;kg/m3
Schweinegülle Mast 1:1 verdünnt;m³;279;;1.8;1.9;0.836;2.2;1.826;kg/m3
Schweinegülle Mast 1:1 verdünnt Brukhard Josef;m³;5;;1.8;1.9;0.836;2.2;1.826;kg/m3
Schweinegülle Mast 1:1 verdünnt Grau Peter;m³;2;;1.8;1.9;0.836;2.2;1.826;kg/m3
Schweinegülle Mast 1:1 verdünnt Hodel Andreas;m³;3;;1.8;1.9;0.836;2.2;1.826;kg/m3
Schweinegülle Mast 1:1 verdünnt Schmidlin Thomas;m³;14;;1.8;1.9;0.836;2.2;1.826;kg/m3
Schweinegülle Mast 1:1 verdünnt Steiger Martina;m³;13;;1.8;1.9;0.836;2.2;1.826;kg/m3
Schweinegülle Mast 1:1.69 verdünnt Grau Peter;m³;9;;1.8;1.9;0.836;2.2;1.826;kg/m3
Schweinegülle Mast 1:2 verdünnt;m³;120;;1.2;1.3;0.572;1.5;1.245;kg/m3
Schweinegülle Mast unverdünnt;m³;49;;3.6;3.8;1.672;4.4;3.652;kg/m3
Schweinegülle Swissag;m³;3;;3.6;3.8;1.672;4.4;3.652;kg/m3
Schweinegülle Swissag Mast 1:1 verdünnt;m³;53;;1.8;1.9;0.836;2.2;1.826;kg/m3
Schweinegülle Zucht 1:1 verdünnt;m³;209;;1.8;1.9;0.836;2.2;1.826;kg/m3
Schweinegülle Zucht 1:2 Hertach;m³;10;;1.2;1.3;0.572;1.5;1.245;kg/m3
Schweinegülle Zucht 1:2 verdünnt;m³;17;;1.2;1.3;0.572;1.5;1.245;kg/m3
Schweinegülle Zucht 1:2 verdünnt, 2009,  Bigler;m³;7;;1.2;1.3;0.572;1.5;1.245;kg/m3
Schweinemist;t;23;;3.9;7;3.08;8.3;6.889;kg/t
Schwemmkanal;m³;30;keine Infos;2.6;;0;;0;kg/m3
scorie potassique 0-15-10;dt;6;;;0.15;0.066;0.1;0.083;
Scorie potassique 12.11.3 Mg. 4 S;dt;22;;0.12;0.11;0.0484;0.03;0.0249;
Scories potassiques 0.11.11 + 2,4% Mg;dt;6;;;0.11;0.0484;0.11;0.0913;
Scories potassiques 0.11.20 + 2.4% Mg;dt;9;;;0.11;0.0484;0.2;0.166;
Scories potassiques 0.12.11 + 3.6% Mg;dt;6;;;0.12;0.0528;0.11;0.0913;
Seniphos (P + Ca);l;8;;;0.31;0.1364;;0;
Silo à lisier en béton, avec couverture;m³;13;Annahme Kuhgülle;2.6;1.8;0.792;8;6.64;kg/m3
Spezial Volldünger;dt;2;;0.12;0.08;0.0352;0.16;0.1328;
Spezial Volldünger chlorfrei;dt;16;;0.12;0.08;0.0352;0.16;0.1328;
Stall Super plus;dt;4;;;0.12;0.0528;;0;
Stapelmist;t;17;Annahme Kuhmist;1.5;2.7;1.188;8.7;7.221;kg/t
Stapelmist Pferde;dt;7;;0.19;2.5;1.1;9.8;8.134;kg/t
Stapelmist Rindvieh;t;153;;1.9;2.3;1.012;8.9;7.387;kg/t
Stapelmist Rindvieh;dt;7;;0.19;0.23;0.1012;0.55;0.4565;kg/dt
Stapelmist Rindvieh t;t;12;;1.5;;0;;0;kg/t
Stappelmist;t;25;Annahme Kuhmist;1.7;2.7;1.188;8.7;7.221;kg/t
Steinmehl siliziumreich;dt;6;;;;0;0.01;0.0083;
Sulfamid 30 % N + 3 % Mg + S;dt;207;;0.3;;0;;0;
Sulfammo;dt;47;Annahme Sulfammo 23;0.23;;0;;0;
Sulfammo 18.5;dt;27;;0.18;;0;;0;
Sulfammo 26;dt;7;;0.26;;0;;0;
Sulfamo;dt;16;Annahme Sulfammo 23;0.23;;0;;0;
Sulfamo 26;dt;68;;0.26;;0;;0;
Sulfate ammoniaque gran. 21 % N + S;dt;63;;0.21;;0;;0;
Sulfate d'ammoniaque Mg plus;dt;17;;0.21;;0;;0;
Sulfate de potasse granulée 50 % sans chlore;dt;1;;;;0;0.5;0.415;
Sulfo-Magnésien 25;dt;9;;0.25;;0;;0;
Sulfo-magnésien 25 N, 5 Mg, 8,5 S;dt;19;;0.25;;0;;0;
Sulfonitrate 21% N + B + S;dt;3;;0.21;;0;;0;
Sulfonitrate 26 %;dt;105;;0.26;;0;;0;
Sulfonitrate 26 % N + B + S;dt;269;;0.26;;0;;0;
Superphosfat;dt;4;;;0.18;0.0792;;0;
Superphosphat + Mg;dt;19;;;0.18;0.0792;;0;
Supertriple;dt;45;;;0.46;0.2024;;0;
Suplesan;dt;335;;0.2;0.08;0.0352;0.08;0.0664;
Suplésan;dt;37;;0.2;0.08;0.0352;0.08;0.0664;
Tas de fumier;t;815;Annahme Kuhmist;1.9;2.7;1.188;8.7;7.221;kg/t
Tas de fumier 2000;t;32;Annahme Kuhmist;1.9;2.7;1.188;8.7;7.221;kg/t
Tas de fumier Bois;t;3;Rindermist;1.9;2.3;1.012;8.9;7.387;kg/t
Tas de fumier Dany;t;5;Kuhmist;1.9;2.7;1.188;8.7;7.221;kg/t
tas de fumier des génisses;t;5;Kälbermist;1.9;2.3;1.012;5.5;4.565;kg/t
Tas de fumier des génisses;t;1;Kälbermist;1.9;2.3;1.012;5.5;4.565;kg/t
Tas de fumier du domaine;t;5;Kuhmist;1.9;2.7;1.188;8.7;7.221;kg/t
tas de fumier génisse;t;14;Kälbermist;1.9;2.3;1.012;5.5;4.565;kg/t
Tas de fumier Gonin;t;3;Kuhmist;1.9;2.7;1.188;8.7;7.221;kg/t
Tas de fumier vaches;t;25;Kuhmist;1.9;2.7;1.188;8.7;7.221;kg/t
Terbona  chlorfrei;dt;38;;0.12;0.06;0.0264;0.18;0.1494;
Terbona  chlorfrei (Gemüse);dt;27;;0.12;0.06;0.0264;0.18;0.1494;
Terbona 12.6.18.2.0,1 ex chl.;dt;2;;0.12;0.06;0.0264;0.18;0.1494;
Terbona IP chlorfrei;dt;2;;0.12;0.06;0.0264;0.18;0.1494;
Thomasgranulat;dt;2;;;0.11;0.0484;0.2;0.166;
Thomaskali 0.11.20 + 1.8% Mg;dt;10;;;0.11;0.0484;0.2;0.166;
Thomaskali 0.11.20 + 1.8% Mg (calcium agro);dt;44;;;0.11;0.0484;0.2;0.166;
Thomaskali 0.11.20 + 2.4% Mg (Landor);dt;7;;;0.11;0.0484;0.2;0.166;
Thomaskali 0.12.11 + 3 % Mg;dt;15;;;0.12;0.0528;0.11;0.0913;
Tomaskali 0.12.11.3MG;kg;6;;;0.12;0.0528;0.11;0.0913;
TPS Triple Superphosphat;dt;9;;;0.46;0.2024;;0;
Tresan;dt;10;;0.13;0.13;0.0572;0.21;0.1743;
Triamon plus 26%;dt;18;;0.26;;0;;0;
Triphoska;dt;95;;;0.1;0.044;0.25;0.2075;
Triphoska 0.10.25;dt;14;;;0.1;0.044;0.25;0.2075;
Triple - Super;dt;148;;;0.46;0.2024;;0;
Triple Superphosphat;dt;164;;;0.46;0.2024;;0;
TSP Supertriple;dt;6;;;0.46;0.2024;;0;
TSP Triple Superphosphat;dt;43;;;0.46;0.2024;;0;
Umostart Super;kg;3;;0.11;0.46;0.2024;;0;
UNIFERT ;dt;3;;0.14;0.05;0.022;0.16;0.1328;
Unifert 14.5.16 +2 mg;dt;6;;0.14;0.05;0.022;0.16;0.1328;
Unifert 14-5-16;dt;2;;0.14;0.05;0.022;0.16;0.1328;
Unikorn I gekörnt 14.4.20;dt;4;;0.14;0.04;0.0176;0.2;0.166;
Urée granulée 46 % N;dt;169;;0.46;;0;;0;
Urée perlée;dt;23;;0.46;;0;;0;
Vernal Plus;dt;227;;0.2;0.06;0.0264;0.06;0.0498;
Vidoc;kg;2;;0.1;0.04;0.0176;0.15;0.1245;
Vidoc 10-4-15-4Mg;dt;6;;0.1;0.04;0.0176;0.15;0.1245;
Vivasol;dt;9;;0.046;0.033;0.01452;0.025;0.02075;
Volaille;t;2;Geflügelmist;13.5;30;13.2;20;16.6;kg/t
Vollgülle;m³;25;Annahme Kuhgülle;2.6;1.8;0.792;8;6.64;kg/m3
Vollgülle gem. Rind/Schweinemast 1:1, verdünnt 1:1;m³;212;;1.55;1.4;0.616;3.1;2.573;kg/m3
Vollgülle gem. Rind/Schweinemast 1:1, verdünnt 1:1 Bütler 09;m³;33;;1.55;1.4;0.616;3.1;2.573;kg/m3
Vollgülle Rinder 1:1 verdünnt;m³;310;;1.3;0.9;0.396;2.6;2.158;kg/m3
Vollgülle Rinder 1:2 verdünnt;m³;56;;0.85;0.6;0.264;1.7;1.411;kg/m3
Vollgülle Rinder unverdünnt;m³;18;;2.6;1.7;0.748;5.2;4.316;kg/m3
Vollgülle Rindviehmast 1:1 verdünnt;m³;10;;1.3;0.9;0.396;2.6;2.158;kg/m3
Vollgülle Rindviehmast 1:2 verdünnt;m³;7;;0.85;0.6;0.264;1.7;1.411;kg/m3
vor Scheune ;m³;25;Annahme Kuhgülle;2.6;1.8;0.792;8;6.64;kg/m3
vrac céréales 2009;dt;;;0.27;;0;;0;Annahmen
vrac colza 2009;dt;;;0.27;;0;;0;Annahmen
Weisskorn;dt;62;;0.33;;0;;0;
Winkeli/Weide;m³;155;Annahme Nitroplus;0.2;0.05;0.022;0.08;0.0664;kg/m3
Wuxal;l;102;Annahme Universaldünger;99;99;43.56;75;62.25;g/l
Wuxal Boron;l;54;;110;137;60.28;;0;g/l
Wuxal Ca;l;7;;160;;0;;0;g/l
Wuxal Mn;l;1;;320;;0;240;199.2;g/l
Wuxal Pflanzen;l;2;Annahme Universaldünger;99;99;43.56;75;62.25;g/l
Wuxal Profi;l;76;;99;99;43.56;75;62.25;g/l
Wuxal Suspension Ca;l;153;;160;;0;;0;g/l
Wuxal Suspension Mg;l;478;;54;;0;;0;g/l
Wuxal Suspension Mn;l;85;;320;;0;240;199.2;g/l
