"SIdent";"Schlag.ID";"KID";"AUI.ID";"BFS.Nr";"Zone.Nr";"BF";"Schlagflaeche";"Menge.Produkt";"Rohleistung.total";"Rohleistung.aus.landwirtschaftlicher.Produktion";"Arbeitskräfte.Betrieb";"Hangbeiträge..2.v.2.";"Hangbeiträge..1.v.2..";"Tierhaltung";"Ausbildung.Betriebsleiter";"Tierbestand.total..im.Eigentum.";"Landwirtschaftliches.Einkommen..LE.";"Pflanzenbau";"Betriebseinkommen";"Dünger";"Sachkosten.Pflanzenbau";"Aktiven.Betrieb";"Alter.Betriebsleiter";"Fremdfinanzierungsgrad..Nenner.";"Fremdfinanzierungsgrad..Zähler.";"Mfungag";"Extenso";"Insektizid";"AIag";"HR";"Menge.Produkt.ha2";"Ext";"STIprob";"Kultur";"Kantonsnr.";"Gemeinde";"Region";"Datum";"Massnahmedetail.ID";"Kulturertrag";"Einheit.Produkt";"Jahr";"Arbeitskräfte.Betrieb.1";"Gesamteinkommen..GE.";"Höhe.über.Meer";"Direktzahlungen";"Pflanzenschutz";"Anlagevermögen";"Minsektag";"Mherbreduzag";"Herbizid";"Rest";"TL";"AIA";"PSMBez";"name";"maxUm";"max";"HL";"PSMIdent";"LN";"Einheit.Ertrag.ha";"Menge.Produkt.ha";"Zone";"Landwirtschaftliche.Nutzfläche";"Ausserlandwirtschaftliches.Einkommen";"Aktiven.total";"Hagelversicherung";"Mherbag";"Mtillag";"Fungizid";"HerbBio";"FL";"Massnahmeflaeche2";"AIAha";"STIQuotient";"P09";"P10";"P11";"P12";"P13";"AP";"P09.ha";"P10.ha";"P11.ha";"P12.ha";"P13.ha";"AP.ha";"Menge.ha_P";"Extag";"Kartoffeln";"Mais";"Obst";"UebrigesGetreide";"Winterweizen";"WinterweizenExt";"Flaeche";"Mtillagag";"notBioMittel";"BioMittel"
"10 Winterweizen";"1CB5796C-6298-431E-B4A5-7D2B38";"Venzar Winterweizen";10;354;31;64,55;3,38;0,507;559733,6;370886,09;2,25;0;NA;319364,55;3;70,97;80875,29;51521,54;168035,2;12215,3;32791,85;2246085,36;47;2246085,36;2555228,6;0;1;0;0,8;0;0,15;1;0;"Winterweizen";2;"Kirchlindach";"Tal";"01.05.2009";"51731BB8-F2F1-4C2F-AD64-81B45F";980;"kg";2009;2,25;80875,29;450;111450,3;7090,25;1796422;0;0;1;0;0,079645609060688;0,4056;"Venzar";"Venzar";NA;NA;0;"30479 2";46,72;"dt";0,15;31;47,71;0;2246085,36;1078;2;1;0;0;0,0914915552210705;3,38;0,12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;1;0;9,06;0,666666666666667;0;0
"10 Winterweizen";"1CB5796C-6298-431E-B4A5-7D2B38";"Betron WDG Winterweizen";10;354;31;64,55;3,38;6,76;559733,6;370886,09;2,25;0;NA;319364,55;3;70,97;80875,29;51521,54;168035,2;12215,3;32791,85;2246085,36;47;2246085,36;2555228,6;0;1;0;0,7;10;2;1;0;"Winterweizen";2;"Kirchlindach";"Tal";"01.05.2009";"F580F2A1-9539-49DC-90BF-4C4050";980;"kg";2009;2,25;80875,29;450;111450,3;7090,25;1796422;0;0;1;0;0,0326564947455472;4,732;"Betron WDG";"Betron WDG";NA;NA;0,0285714285714286;"30089 2";46,72;"dt";2;31;47,71;0;2246085,36;1078;2;1;0;0;0,299695778400082;3,38;1,4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;1;0;9,06;0,666666666666667;0;0
"10 Winterweizen";"1CB5796C-6298-431E-B4A5-7D2B38";"Beta Star Winterweizen";10;354;31;64,55;3,38;6,76;559733,6;370886,09;2,25;0;NA;319364,55;3;70,97;80875,29;51521,54;168035,2;12215,3;32791,85;2246085,36;47;2246085,36;2555228,6;0;1;0;0,1802;10;2;1;0;"Winterweizen";2;"Kirchlindach";"Tal";"01.05.2009";"D24BB17F-C267-4514-8E12-2CD8D0";980;"l";2009;2,25;80875,29;450;111450,3;7090,25;1796422;0;0;1;0;0,0302709166627831;1,218152;"Beta Star";"Beta Star";NA;NA;0;"30829 1";46,72;"dt";2;31;47,71;0;2246085,36;1078;2;1;0;0;0,128316945029877;3,38;0,3604;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;1;0;9,06;0,666666666666667;0;0
"102 Kartoffeln";"DF28F2DF-023A-4535-8CD7-E7C057";"Maneb Kartoffeln";102;4841;31;21,15;0,6;1;183692,91;69283,4;0,72;0;NA;0;4;0;64745,76;69283,4;84445,71;3151,05;17317,9;625974,76;45;625974,76;531549,05;0;0;0;0,8;120;1,66666666666667;1;0;"Kartoffeln";20;"Pfyn";"Tal";"04.07.2009";"1DA7253D-DFD1-4AA9-9F92-D53C69";336,65;"kg";2009;0,72;104680,16;450;37777;5016,85;542360;0;0;0;0;1,77287898892115;0,8;"Maneb";"Maneb";NA;NA;0,342857142857143;"31486 2";17,02;"dt";1,666666667;31;17,02;39934,4;625974,76;0;6;2;1;1;0,00311005888230188;0,6;1,33333333333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;0;0;0;0;0,6;2;0;0
"102 Kartoffeln";"DF28F2DF-023A-4535-8CD7-E7C057";"Maneb Kartoffeln";102;4841;31;21,15;0,6;1,8;183692,91;69283,4;0,72;0;NA;0;4;0;64745,76;69283,4;84445,71;3151,05;17317,9;625974,76;45;625974,76;531549,05;0;0;0;0,8;120;3;1;0;"Kartoffeln";20;"Pfyn";"Tal";"05.06.2009";"AEC51E2E-BC42-42FC-89CC-FD0754";336,65;"kg";2009;0,72;104680,16;450;37777;5016,85;542360;0;0;0;0;1,77287898892115;1,44;"Maneb";"Maneb";NA;NA;0,342857142857143;"31486 2";17,02;"dt";3;31;17,02;39934,4;625974,76;0;6;2;1;1;0,00311005888230188;0,6;2,4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;0;0;0;0;0,6;2;0;0
"102 Mais";"F1DBDAB8-D536-4A1F-84FD-E9DE49";"Trichocap Mais";102;4841;31;21,15;1,9;0,93;183692,91;69283,4;0,72;0;NA;0;4;0;64745,76;69283,4;84445,71;3151,05;17317,9;625974,76;45;625974,76;531549,05;0;0;0;0;0;0,489473684210526;0;0;"Mais";20;"Pfyn";"Tal";"11.07.2009";"98B1EF9B-42A9-4F74-AA69-CEC2DD";125,4263158;"Pkte";2009;0,72;104680,16;450;37777;5016,85;542360;0;0;0;1;0;0;"Trichocap";"Trichocap";NA;NA;0;"30627 7";17,02;"dt";0,489473684;31;17,02;39934,4;625974,76;0;6;3;0;0;0;1,9;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;1;0;0;0;0;1,9;3;1;1
"102 UebrigesGetreide";"668756A9-98F9-4229-BF18-21504D";"Iodus 40 Dinkel (Winterkorn)";102;4841;31;21,15;2,31;2,3;183692,91;69283,4;0,72;0;NA;0;4;0;64745,76;69283,4;84445,71;3151,05;17317,9;625974,76;45;625974,76;531549,05;0;0;0;0,037;0;0,995670995670996;1;0;"UebrigesGetreide";20;"Pfyn";"Tal";"09.04.2009";"281723A5-D7AD-4CB6-BC9A-FC2144";46,92640693;"l";2009;0,72;104680,16;450;37777;5016,85;542360;0;0;0;1;0;0,0851;"Iodus 40";"Iodus 40";NA;NA;0;"30748 1";17,02;"dt";0,995670996;31;17,02;39934,4;625974,76;0;1;0;0;1;0;2,31;0,0368398268398268;NA;43;43;43;43;43;98,9;43;43;43;43;43;99,33;1;1;0;0;0;1;0;0;2,31;0;0;0
"102 UebrigesGetreide";"668756A9-98F9-4229-BF18-21504D";"Concert SX Dinkel (Winterkorn)";102;4841;31;21,15;2,31;0,23;183692,91;69283,4;0,72;0;NA;0;4;0;64745,76;69283,4;84445,71;3151,05;17317,9;625974,76;45;625974,76;531549,05;0;0;0;0,44;0;0,0995670995670996;0;0;"UebrigesGetreide";20;"Pfyn";"Tal";"09.04.2009";"61FDF02C-4289-46C8-82E6-9F36CC";46,92640693;"kg";2009;0,72;104680,16;450;37777;5016,85;542360;0;0;1;0;0,45526942792371;0,1012;"Concert SX";"Concert SX";NA;NA;0;"30741 2";17,02;"dt";0,0995671;31;17,02;39934,4;625974,76;0;1;0;0;0;0,0540705667351543;2,31;0,0438095238095238;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;1;0;0;2,31;0;0;0
"106 Winterweizen";"C338493F-E011-458F-A935-BA0C6B";"Dual Gold Winterweizen";106;4721;31;28,79;0,45;1;790018,95;548194,7;2,86;0;NA;538190,5;3;83,18;201728,35;10004,2;270500,2;2235,25;9685,6;1593316,2;32;1595116,2;1233951;0;1;0;0,96;20;2,22222222222222;1;0;"Winterweizen";20;"Bichelsee-Balterswil";"Tal";"23.05.2009";"1889E3D6-2B89-41D2-BDEA-33D4FA";83,68888889;"l";2009;2,86;210140,55;550;81057;2047,45;1076179;0;0;1;0;0,148348986105429;0,96;"Dual Gold";"Dual Gold";NA;NA;0,0571428571428571;"30178 1";26,7;"dt";2,222222222;31;26,7;8412,2;1595116,2;438,9;0;0;0;0;0,206796808125674;0,45;2,13333333333333;NA;35;36;36;36;36;35;57,75;59,4;59,4;59,4;54;25,9875;1,65;1;0;0;0;0;1;0;2,75;0,5;0;0
"106 Winterweizen";"C338493F-E011-458F-A935-BA0C6B";"NA Winterweizen";106;4721;31;28,79;0,45;1,6;790018,95;548194,7;2,86;0;NA;538190,5;3;83,18;201728,35;10004,2;270500,2;2235,25;9685,6;1593316,2;32;1595116,2;1233951;0;1;0;0,5;90;3,55555555555556;1;0;"Winterweizen";20;"Bichelsee-Balterswil";"Tal";"23.05.2009";"AA76F2BB-D2BF-4EE0-A1B5-486259";83,68888889;"l";2009;2,86;210140,55;550;81057;2047,45;1076179;0;0;1;0;0,0524725141208957;0,8;"Atrazin flüssig";NA;NA;NA;0,371428571428571;"30048 1";26,7;"dt";3,555555556;31;26,7;8412,2;1595116,2;438,9;0;0;0;0;0,577542292497498;0,45;1,77777777777778;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;1;0;2,75;0,5;0;0
